table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,21330,3477,18718,11565,7629,14819,8412,17081,29370,13214,20856,1685,2740,2957,708,2931,5545,7368,1099,325,575,383,229,442,1636,686,1437,1225,858,2233,1013,158,68,297,237,215,347,340,816,826,737,1038,0,0,0,0,0
2,2,3477,530,2001,648,370,491,293,606,1224,583,1862,38,65,147,25,134,298,481,35,6,9,5,4,12,90,30,83,61,44,105,44,3,1,4,5,6,14,16,53,41,37,48,0,0,0,0,0
3,3,18718,2001,11245,3606,2131,4566,2609,8410,27014,10304,9971,452,853,1443,386,2456,2896,3169,359,96,168,119,82,166,1091,439,717,515,264,811,272,49,19,82,86,81,216,205,394,352,182,501,0,0,0,0,0
4,4,12453,973,3842,5596,2408,1172,452,1095,2545,719,1082,139,190,161,116,242,279,410,114,91,73,110,51,53,254,146,103,62,116,195,93,47,272,315,149,66,195,51,580,159,254,22,0,0,0,0,0
5,5,7629,370,2131,2389,13631,3661,384,620,1143,287,376,726,104,44,15,70,85,98,97,20,10,3,5,1,19,8,8,8,4,12,4,5,1,2,3,1,1,1,4,3,1,3,0,0,0,0,0
6,6,14819,491,4566,1109,3661,30970,5146,2970,2471,728,850,555,1845,699,87,219,265,347,96,28,100,38,38,17,71,42,34,23,14,54,10,7,7,42,30,4,6,3,20,14,8,22,0,0,0,0,0
7,7,8412,293,2609,423,384,5146,14608,7113,1542,342,501,66,297,988,139,202,130,184,35,4,39,9,30,18,47,30,10,18,8,35,3,1,1,11,25,5,4,1,3,5,2,13,0,0,0,0,0
8,8,17081,606,8410,917,620,2970,7113,52355,6515,864,1635,95,372,4159,543,640,390,796,73,14,58,35,47,185,197,97,65,62,38,178,39,8,4,28,51,72,42,20,60,34,25,82,0,0,0,0,0
9,9,29370,1224,27014,2288,1143,2471,1542,6515,86054,6261,4725,236,396,1777,289,3871,2435,2048,167,30,64,39,32,45,600,240,319,216,94,405,99,13,6,35,28,16,83,67,126,115,47,151,0,0,0,0,0
10,10,13214,583,10304,666,287,728,342,864,6261,8701,5480,42,90,115,37,241,1728,1174,40,5,13,6,7,8,99,27,83,48,20,81,19,3,1,5,8,3,7,6,30,24,12,28,0,0,0,0,0
11,11,20856,1862,9971,1031,376,850,501,1635,4725,5480,18149,40,84,188,60,259,1159,3816,36,4,11,5,9,13,99,39,63,114,53,293,62,3,1,4,7,4,9,7,31,40,30,32,0,0,0,0,0
12,12,1685,38,452,130,726,555,66,95,236,42,40,9541,160,6,6,8,9,19,1479,297,10,2,1,0,2,1,1,1,0,1,0,21,9,4,2,0,0,0,0,0,0,1,0,0,0,0,0
13,13,2740,65,853,184,104,1845,297,372,396,90,84,160,7104,253,45,31,19,20,25,31,395,29,307,8,6,3,1,1,0,3,0,1,1,20,50,3,0,1,0,0,0,4,0,0,0,0,0
14,14,2957,147,1443,151,44,699,988,4159,1777,115,188,6,253,10414,1523,694,30,43,4,0,7,1,86,37,56,14,5,2,1,8,0,0,0,1,8,3,2,0,1,1,0,3,0,0,0,0,0
15,15,708,25,386,104,15,87,139,543,289,37,60,6,45,1523,13492,544,16,35,4,1,6,1,40,146,103,33,4,3,1,5,1,0,0,1,9,34,17,1,1,1,0,12,0,0,0,0,0
16,16,2931,134,2456,208,70,219,202,640,3871,241,259,8,31,694,544,13167,222,95,10,1,4,2,6,8,557,91,37,12,3,16,2,0,0,1,5,1,11,5,6,5,1,8,0,0,0,0,0
17,17,5545,298,2896,260,85,265,130,390,2435,1728,1159,9,19,30,16,222,9131,1252,8,0,2,1,2,1,125,10,430,41,5,25,2,1,0,1,2,0,1,6,10,10,1,7,0,0,0,0,0
18,18,7368,481,3169,398,98,347,184,796,2048,1174,3816,19,20,43,35,95,1252,16532,10,1,5,1,4,1,49,11,50,187,90,2063,120,0,0,1,3,1,2,4,21,40,34,13,0,0,0,0,0
19,19,1099,35,359,101,97,96,35,73,167,40,36,1479,25,4,4,10,8,10,10823,299,6,2,1,1,2,0,1,0,0,0,0,197,21,5,2,0,0,0,1,0,0,2,0,0,0,0,0
