table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
30,30,5775,1232,3202,1529,605,1657,748,1857,5330,2883,11410,251,571,491,686,1061,4229,51714,83,174,159,156,297,155,2019,490,4509,22633,22543,154141,45076,55,12,113,85,37,174,796,1726,9039,14106,2662,313,404,49,55,757
31,31,3818,664,1766,940,258,753,217,893,3710,1221,4048,55,99,125,427,478,1171,13060,23,36,15,25,67,90,824,131,1218,4249,20203,45078,270970,7,6,27,28,9,41,177,468,6698,60537,2239,333,426,52,58,758
32,32,998,155,387,400,481,1240,118,496,648,198,281,2665,1624,36,319,57,131,46,31585,21888,720,2917,551,129,40,43,13,8,10,55,7,181192,15055,5763,324,40,54,8,10,13,7,2971,118,268,33,53,1418
33,33,784,103,281,295,279,961,107,376,531,124,173,1803,1175,22,169,107,75,32,3212,12818,592,4653,573,184,22,46,11,7,29,12,6,15055,125447,23745,751,134,39,8,21,10,6,40356,100,248,30,56,4074
34,34,1391,186,515,608,433,2831,707,1384,1100,266,415,2007,6255,445,1150,329,192,97,3133,11516,8060,63609,4102,1394,276,272,80,30,34,113,27,5761,23738,351558,20640,1950,450,103,50,63,42,80996,271,689,82,156,3980
35,35,1010,175,447,489,260,2604,1092,2225,1159,291,423,566,7419,2188,6654,1447,410,234,615,1632,6174,32236,32570,17346,1069,1762,193,43,127,85,28,324,751,20641,382667,36642,2753,417,146,131,45,66226,338,860,103,197,2708
36,36,868,148,492,403,135,898,442,2488,1254,238,312,107,1758,1230,5284,994,254,147,117,164,1115,4671,7003,36217,2339,5239,96,37,17,37,9,40,134,1950,36643,211097,25000,831,119,63,24,77471,296,795,93,192,1705
37,37,1640,274,1100,944,255,1017,448,2423,3293,493,670,76,925,1408,4662,3540,1002,456,115,234,688,1139,1681,9119,14860,56461,2101,334,155,174,41,54,39,450,2753,25000,311108,42263,3036,710,103,109399,665,1730,184,225,1738
38,38,1202,195,774,467,73,361,121,1023,2769,433,714,20,236,303,1312,1585,1320,885,22,33,86,220,322,502,8015,23776,22226,1230,652,796,177,8,8,103,417,831,42264,289665,28127,4208,203,70656,714,1117,121,132,992
39,39,1511,300,611,680,113,416,45,602,2089,731,1369,42,151,200,851,1508,4839,2775,52,46,80,103,143,174,3215,2379,45043,5738,4555,1726,468,10,21,50,146,119,3036,28127,288666,41542,1248,115320,856,946,111,123,952
40,40,2872,540,1341,844,199,769,164,750,2619,1285,3241,105,197,274,809,1346,5021,6967,50,54,39,130,207,169,2188,784,20594,30397,77380,9041,6698,13,10,63,131,63,710,4208,41544,418428,32882,78249,856,1042,126,139,1195
41,41,2396,449,1124,1196,60,632,103,573,1788,726,1629,27,93,63,258,332,890,4700,23,30,28,28,69,30,402,241,981,3015,18717,14107,60537,7,6,42,45,24,103,203,1248,32881,380010,34661,496,621,75,83,795
42,42,9436,1518,4132,1513,458,4096,936,4913,7558,2343,3341,1311,5990,1747,8159,3784,3319,2837,1968,5002,5153,22443,10300,11442,9121,19112,9598,4147,6981,2663,2239,2971,40358,81023,66232,77470,109398,70650,115332,78252,34661,12137947,55467,113672,18593,20669,140101
43,51,607,93,279,114,174,334,151,397,597,221,329,183,292,217,318,256,334,383,224,233,133,218,217,218,416,454,518,275,401,313,333,118,100,271,338,296,665,714,856,856,496,55467,0,0,29,31,349
44,52,1201,180,597,222,343,664,325,903,1263,375,524,372,646,496,716,543,495,503,485,523,304,551,503,539,923,1135,692,346,502,404,426,268,248,689,860,795,1730,1117,946,1042,621,113672,0,0,456,1944,3491
45,53,147,22,73,27,42,81,40,110,154,46,64,46,79,60,87,65,60,61,59,64,37,66,61,64,109,132,84,42,61,49,52,33,30,82,103,93,184,121,111,126,75,18593,29,456,0,124,147
46,54,166,24,80,30,50,113,54,135,172,51,70,67,120,80,117,73,67,68,91,103,64,125,105,117,123,150,93,47,68,55,58,53,56,156,197,192,225,132,123,139,83,20669,31,1944,124,507,112
47,55,2656,377,1133,535,987,2032,817,1863,2223,729,1073,1403,2102,979,1383,845,795,961,2013,2320,1105,2190,1449,1157,1248,1207,901,531,701,757,758,1418,4074,3980,2708,1705,1738,992,952,1195,795,140101,349,3491,147,112,7423
