table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
23,23,1456,233,691,674,1061,6411,2338,3408,2105,550,877,1678,36154,7445,20552,2222,968,563,1302,3397,20063,17786,115626,26197,3104,2353,824,397,197,333,78,569,536,4022,30159,7161,2050,420,180,266,88,9175,235,531,63,114,1604
24,24,1402,260,837,880,235,3375,1835,5803,2446,513,665,452,7872,7366,29003,2807,798,216,307,832,2670,4031,26197,168650,9270,15544,429,177,61,173,108,132,176,1515,16712,37664,10357,571,201,207,36,11290,248,603,70,134,1315
25,25,4082,856,2949,1725,542,3275,1352,5684,14819,2607,2873,284,2336,6463,27267,41348,17026,3006,312,325,566,570,3104,9270,265823,81781,27404,3938,1463,2048,852,38,22,239,921,2167,15354,8547,3120,2086,442,8992,467,990,116,132,1358
26,26,2391,455,1608,789,305,2280,1168,3278,5541,980,1270,226,1691,2688,9944,7673,2097,696,150,221,612,817,2353,15544,81797,275065,12245,746,282,527,137,46,41,282,1763,5120,61884,25766,2532,863,268,20496,525,1254,144,166,1325
27,27,3073,667,1538,1104,350,1108,294,1389,7215,2686,3928,158,569,1004,3238,8391,29937,7358,118,76,190,246,824,429,27406,12244,258990,24566,5132,4470,1238,13,11,90,198,89,2285,23989,47343,21939,1035,9358,592,760,89,100,976
28,28,3423,786,1781,843,488,992,472,888,4290,2126,6276,124,382,448,1351,2715,11036,14709,35,37,117,53,397,177,3937,746,24567,86069,29035,23774,4338,8,7,35,43,37,379,1358,6184,32435,3143,4271,312,376,44,50,566
29,29,2455,547,1247,782,174,804,285,629,2391,1110,2808,136,154,217,652,732,3219,8207,30,68,156,83,197,61,1463,282,5132,29039,222992,25627,21495,9,26,37,136,18,177,705,4648,79616,19249,6443,454,547,64,73,746
30,30,5489,1363,3066,1561,570,1776,861,1750,5712,2873,11601,244,585,486,728,1094,4288,56372,81,184,171,184,333,173,2048,527,4470,23772,25624,172193,48893,57,13,113,95,40,182,878,1788,9968,14851,2608,361,446,53,60,831
31,31,3919,736,1925,990,263,836,285,919,4167,1341,4223,61,100,125,481,493,1206,13463,23,36,15,26,78,108,852,137,1238,4338,21497,48896,291134,7,6,29,29,10,44,193,503,7347,62774,1891,376,461,54,62,799
32,32,986,155,389,404,500,1265,145,507,675,215,297,2670,1492,31,320,58,131,47,33758,22714,749,3494,569,132,38,46,13,8,9,57,7,195128,16832,6263,323,46,51,8,10,13,7,4714,124,273,32,57,1911
33,33,683,90,256,283,238,949,129,369,492,121,166,1786,1063,19,145,87,70,32,3062,12641,575,5162,536,176,22,41,11,7,26,13,6,16832,130049,26792,751,141,36,8,18,11,6,50503,106,260,30,60,5527
34,34,1246,168,494,617,453,2918,788,1301,1091,290,447,2116,5503,440,1110,372,226,105,3303,11091,7821,69642,4022,1515,239,282,90,35,37,113,29,6262,26789,397451,22517,2274,505,96,53,85,56,93907,303,761,88,176,5047
35,35,830,153,403,491,262,2747,1299,2078,1141,314,463,538,6507,1978,5388,1331,462,297,617,1502,5799,31440,30159,16712,921,1763,198,43,136,95,29,323,751,22518,383634,39543,3031,491,153,163,55,73318,354,889,103,208,2920
36,36,872,154,493,416,156,959,533,2586,1302,273,348,112,1724,1153,5062,938,287,159,122,157,1200,5224,7162,37667,2167,5120,89,37,18,40,10,46,141,2275,39544,230602,26122,846,115,68,32,88076,344,923,106,226,1965
37,37,1865,324,1224,943,272,1161,564,2685,3664,593,764,77,1040,1456,5260,3699,1153,514,107,258,767,1338,2050,10357,15356,61885,2285,379,177,182,44,51,36,505,3031,26122,351324,49959,3268,771,115,120942,816,2020,213,269,1965
38,38,1296,231,854,494,80,438,196,1109,3109,531,825,22,276,333,1529,1735,1435,984,23,34,109,302,420,571,8549,25768,23989,1358,705,878,193,8,8,96,491,846,49959,326861,30595,4644,220,77272,895,1333,141,156,1134
39,39,1592,345,667,725,119,477,59,668,2396,839,1452,48,181,217,997,1575,4803,2898,61,52,103,140,180,201,3119,2529,47314,6181,4646,1787,503,10,18,53,153,115,3266,30575,319681,44468,1270,121315,1014,1090,125,138,1054
40,40,3081,637,1452,924,213,893,224,829,2986,1415,3328,106,220,307,906,1387,5027,7376,50,55,40,144,266,207,2086,863,21941,32436,79619,9969,7347,13,11,85,163,68,771,4644,44471,460052,37240,83603,1020,1196,140,157,1334
41,41,2579,519,1243,1559,63,764,137,654,2112,849,1684,28,109,68,312,367,962,4856,24,35,35,31,88,36,442,268,1035,3144,19249,14852,62774,7,6,56,55,32,115,220,1271,37239,418152,35181,599,721,85,95,887
42,42,10345,1744,4836,1873,484,5041,1378,5388,10495,3078,4149,1191,5056,1798,8643,3909,3827,2910,2324,5492,4510,21277,9183,11301,9040,20522,9380,4279,6455,2623,1904,4717,50506,93922,73328,88080,120947,77272,121327,83615,35190,12859508,64726,132598,21961,23888,160460
43,51,701,114,339,138,190,386,214,466,734,282,409,196,309,242,358,288,391,452,234,247,143,240,235,248,467,525,592,312,454,361,376,124,106,303,354,344,816,895,1014,1020,599,64747,0,0,35,37,581
44,52,1296,203,689,255,357,741,436,1019,1485,449,608,390,659,533,775,582,547,564,496,539,319,601,531,603,990,1254,760,376,547,446,461,273,260,761,889,923,2020,1333,1090,1196,721,133484,0,0,642,2669,5234
45,53,155,24,82,30,42,88,52,121,177,53,72,47,79,63,92,69,65,66,59,64,38,70,63,70,116,144,89,44,64,53,54,32,30,88,103,106,213,141,125,140,85,22012,35,642,0,167,171
46,54,182,27,92,35,55,129,76,157,201,60,80,73,128,88,131,78,74,75,97,110,69,139,114,134,132,166,100,50,73,60,62,57,60,176,208,226,269,156,138,157,95,23939,37,2669,167,634,137
47,55,3119,464,1411,679,1179,2459,1235,2310,2768,924,1330,1662,2349,1131,1568,934,901,1086,2326,2858,1263,2582,1604,1315,1358,1325,976,566,746,831,799,1911,5527,5047,2920,1965,1965,1134,1055,1334,887,160499,581,5234,171,137,8291
