table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,11762,3329,4512,12805,9220,19870,9248,16375,24859,14752,25192,3311,6121,5145,3124,4781,6783,8510,2144,2469,2289,1752,1431,1359,3918,2369,3069,3423,2441,5455,3906,975,676,1223,818,848,1855,1290,1582,3060,2557,9984,701,1296,155,182,3119
2,2,3349,4087,2558,3641,1912,4167,1730,2751,5716,4331,14203,563,1093,1121,632,1269,1741,2617,464,359,350,259,233,259,852,454,668,787,546,1361,736,155,90,167,153,154,324,231,345,636,518,1718,114,203,24,27,464
3,3,4512,2544,8021,6163,3277,6620,2738,10167,22085,13631,16291,1218,2164,4021,2701,4446,4620,5084,889,951,864,719,685,821,2833,1590,1538,1779,1241,3053,1920,386,253,484,399,481,1216,849,660,1444,1238,4683,339,689,82,92,1411
4,4,12796,3570,6062,54273,28068,12753,3279,6420,8580,3745,7654,4724,2515,1848,1731,1971,2023,2684,1567,1295,645,684,639,802,1616,748,1044,830,721,1498,933,384,228,394,450,345,838,448,531,858,651,1846,138,255,30,35,679
5,5,9587,1927,3408,28114,161890,60609,7503,7529,7042,2354,4096,32502,7791,1404,935,1033,1186,1227,4885,6621,1304,890,1059,228,538,303,345,487,170,565,259,494,235,451,260,153,269,80,119,213,63,458,190,357,42,55,1179
6,6,20779,4181,6785,12851,60578,288070,58959,40371,19229,6284,10822,23241,59770,19774,7429,3995,4810,3941,3987,10030,8650,5108,6410,3374,3272,2280,1109,992,804,1776,836,1265,949,2917,2748,959,1161,438,477,893,764,4978,386,741,88,129,2459
7,7,9632,1728,2793,3320,7490,58924,95311,63835,10559,1829,3447,1991,10591,16783,6029,2235,1061,1169,648,898,2364,1192,2338,1835,1351,1168,294,472,284,862,285,145,129,788,1299,533,564,196,59,224,137,1348,214,436,52,76,1235
8,8,16891,2753,10341,6672,7523,40300,63809,221650,65708,6168,7446,2480,10910,49282,16623,11284,3404,3145,1183,1451,2826,1961,3400,5783,5668,3277,1389,888,628,1749,919,506,369,1299,2075,2576,2683,1109,667,828,653,5238,466,1019,121,157,2310
9,9,25907,5745,22756,8766,7044,19254,10582,65784,353059,48665,32561,2952,5336,30576,12450,53089,32000,13440,2109,1884,1948,1671,2106,2443,14785,5535,7218,4290,2389,5709,4165,675,491,1088,1141,1297,3659,3108,2396,2985,2110,9463,734,1485,177,201,2768
10,10,15240,4360,13975,3799,2351,6285,1830,6171,48737,82882,59317,742,1377,1963,1540,5311,28645,17248,628,531,505,483,550,512,2604,979,2686,2127,1110,2873,1341,215,121,290,314,272,593,531,840,1415,849,2999,282,449,53,60,924
11,11,25812,14243,16788,7748,4098,10827,3452,7477,32768,59350,195794,1173,2263,2504,2169,4267,26532,61124,884,795,792,766,877,664,2871,1269,3928,6277,2807,11599,4223,297,166,447,463,347,764,825,1452,3328,1683,4076,409,608,72,80,1330
12,12,3537,571,1280,4762,32526,23262,2001,2489,2963,747,1177,226119,24970,609,1122,325,388,605,55905,40439,4794,2443,1678,452,284,226,158,124,136,244,61,2671,1786,2116,538,112,77,22,48,106,28,1182,196,390,47,73,1662
13,13,6411,1099,2245,2627,7796,59797,10607,10942,5359,1383,2270,24954,233463,18012,19359,2295,1057,728,5788,23982,43701,11611,36149,7872,2336,1691,569,382,154,586,100,1492,1063,5504,6507,1724,1040,276,181,220,109,5036,309,659,79,128,2349
14,14,5430,1129,4176,1929,1409,19785,16794,49456,30648,1971,2515,609,18012,135856,48935,21733,2137,774,322,874,1872,999,7446,7367,6468,2688,1004,448,217,487,125,31,19,440,1978,1153,1456,333,217,307,68,1700,242,533,63,88,1131
15,15,3246,634,2769,1837,940,7432,6034,16667,12471,1541,2171,1122,19361,48922,176886,32174,3900,1714,861,1838,3731,1803,20552,28999,27268,9945,3238,1351,652,728,481,320,145,1110,5388,5059,5259,1529,998,906,312,8607,358,775,92,131,1568
16,16,5006,1275,4603,2050,1036,3995,2236,11317,53152,5319,4269,324,2294,21717,32148,132495,19049,2714,489,367,823,723,2222,2807,41334,7670,8390,2715,732,1094,493,58,87,372,1331,937,3698,1734,1578,1387,367,3733,288,582,69,78,934
17,17,7530,1795,5078,2095,1198,4832,1076,3451,32177,28704,26565,389,1058,2138,3901,19058,188716,35839,372,353,405,438,968,798,17035,2098,29937,11037,3219,4292,1206,131,70,226,462,286,1153,1435,4806,5027,962,3753,391,547,65,74,901
18,18,8840,2645,5289,2747,1231,3942,1171,3155,13535,17271,61146,604,728,772,1713,2714,35828,256854,262,339,481,369,563,215,3005,695,7358,14711,8205,56375,13458,47,32,105,297,159,513,984,2900,7374,4854,2869,452,564,66,75,1086
19,19,2454,474,986,1647,4904,3999,652,1194,2134,634,888,55940,5789,322,861,490,372,262,307200,81020,2974,3150,1302,307,312,150,118,35,30,81,23,33759,3063,3303,617,122,107,23,61,50,24,2314,234,496,59,97,2326
20,20,2670,363,1008,1350,6636,10043,901,1458,1898,534,798,40476,24003,874,1838,368,353,340,81129,269544,18189,15554,3397,832,325,221,76,37,68,184,36,22716,12642,11094,1502,157,258,34,52,55,35,5486,247,539,64,110,2858
21,21,2420,352,902,674,1307,8659,2371,2835,1959,507,793,4794,43696,1871,3731,824,405,482,2975,18182,93033,26257,20063,2670,566,612,190,117,156,171,15,749,575,7822,5800,1200,767,109,103,40,35,4503,143,319,38,69,1263
22,22,1788,259,731,727,898,5109,1192,1963,1673,484,766,2443,11611,999,1803,723,438,369,3150,15553,26256,160613,17786,4031,570,817,246,53,83,184,26,3494,5161,69643,31439,5223,1338,302,140,144,31,21267,240,601,70,139,2582
