table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,136186,9678,35878,373,473,8008,1679,6887,8457,4120,8091,65,133,320,54,157,474,345,3,4,9,0,4,0,19,0,6,14,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,9678,3658,1806,18,21,114,51,83,229,149,2097,2,6,15,2,8,34,38,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,35878,1806,73467,110,151,896,702,6694,34854,13744,8940,19,46,409,63,217,463,306,0,0,1,0,2,0,21,0,8,10,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,373,18,110,23148,2332,318,47,74,88,15,21,7,10,9,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,473,21,151,2332,39500,3746,71,98,99,14,21,228,45,12,1,2,2,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,8008,114,896,318,3746,73810,5460,2264,470,86,132,290,1307,1054,46,25,18,13,6,20,31,1,23,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1679,51,702,47,71,5460,30331,12474,470,57,50,8,78,1212,58,35,12,5,0,0,3,0,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,6887,83,6694,74,98,2264,12474,126636,5960,276,211,18,129,2452,180,150,70,36,1,3,14,0,19,8,16,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,8457,229,34854,88,99,470,470,5960,185647,8299,1517,25,52,1544,143,2486,881,257,0,0,4,0,5,1,78,0,28,17,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,4120,149,13744,15,14,86,57,276,8299,29118,7728,1,4,41,10,64,1145,315,0,0,0,0,0,0,11,0,7,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,8091,2097,8940,21,21,132,50,211,1517,7728,60091,2,4,26,6,30,517,3207,0,0,0,0,0,0,6,0,6,30,1,73,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,12,65,2,19,7,228,290,8,18,25,1,2,48596,344,1,0,0,0,0,2116,401,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,133,6,46,10,45,1307,78,129,52,4,4,344,31525,229,112,4,0,0,5,86,713,8,652,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,14,320,15,409,9,12,1054,1212,2452,1544,41,26,1,229,27683,1402,1199,13,3,0,0,3,0,39,11,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,54,2,63,1,1,46,58,180,143,10,6,0,112,1402,37301,1444,6,0,0,0,3,0,162,227,163,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,157,8,217,3,2,25,35,150,2486,64,30,0,4,1199,1444,25957,219,9,0,0,0,0,2,2,655,11,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,474,34,463,2,2,18,12,70,881,1145,517,0,0,13,6,219,25695,1187,0,0,0,0,0,0,98,0,230,16,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
18,18,345,38,306,1,1,13,5,36,257,315,3207,0,0,3,0,9,1187,45422,0,0,0,0,0,0,3,0,14,55,9,1445,39,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
19,19,3,0,0,0,2,6,0,1,0,0,0,2116,5,0,0,0,0,0,52180,1744,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,4,0,0,0,4,20,0,3,0,0,0,401,86,0,0,0,0,0,1744,21765,34,18,0,0,0,0,0,0,0,0,0,34,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,9,0,1,0,1,31,3,14,4,0,0,8,713,3,3,0,0,0,1,34,9941,208,176,6,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,18,208,14143,132,16,0,0,0,0,0,0,0,1,2,1099,338,0,0,0,0,0,0,6,0,0,0,0,0
23,23,4,0,2,0,1,23,9,19,5,0,0,1,652,39,162,2,0,0,0,0,176,132,12257,265,0,0,0,0,0,0,0,0,0,0,144,2,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,3,2,8,1,0,0,0,11,11,227,2,0,0,0,0,6,16,265,11585,9,68,0,0,0,0,0,0,0,0,50,139,5,0,0,0,0,0,0,0,0,0,0
25,25,19,1,21,0,0,3,4,16,78,11,6,0,0,27,163,655,98,3,0,0,0,0,0,9,29590,2482,58,2,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,11,0,0,0,0,0,0,0,68,2482,24513,13,0,0,0,0,0,0,0,0,2,245,50,0,0,0,0,0,0,0,0,0
27,27,6,0,8,0,0,0,0,1,28,7,6,0,0,0,1,24,230,14,0,0,0,0,0,0,58,13,17754,147,6,1,0,0,0,0,0,0,0,53,112,131,0,0,0,0,0,0,0
28,28,14,1,10,0,0,0,0,1,17,5,30,0,0,0,0,2,16,55,0,0,0,0,0,0,2,0,147,10892,246,273,6,0,0,0,0,0,0,0,3,550,1,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,246,29263,116,213,0,0,0,0,0,0,0,1,714,50,0,0,0,0,0,0
30,30,36,3,25,0,0,1,0,3,41,10,73,0,0,0,0,0,5,1445,0,0,0,0,0,0,0,0,1,273,116,18758,452,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0
31,31,3,0,2,0,0,0,0,0,4,1,13,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,6,213,452,17657,0,0,0,0,0,0,0,0,5,256,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34,0,1,0,0,0,0,0,0,0,0,0,20754,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,48,14637,70,0,0,0,0,0,0,0,138,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1099,0,0,0,0,0,0,0,0,0,9,70,59802,43,0,0,0,0,0,0,477,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,338,144,50,0,0,0,0,0,0,0,0,0,43,53913,146,0,0,0,0,0,275,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139,1,2,0,0,0,0,0,0,0,0,146,14080,50,0,0,0,0,79,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,245,0,0,0,0,0,0,0,0,0,50,27169,110,0,0,0,224,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,53,0,0,0,0,0,0,0,0,0,110,19456,35,0,0,707,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,3,1,0,0,0,0,0,0,0,0,35,20785,78,0,1342,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,131,550,714,9,5,0,0,0,0,0,0,0,78,35385,61,160,0,0,0,0,0
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50,10,256,0,0,0,0,0,0,0,0,61,23257,55,0,0,0,0,0
